OBJECTID,Column2,Column1,Dnum,Country,State,County,Age,Formation,Stage,Age_Date,AmmoniteZone,LocDescr,Resume_of_Fauna,IndexFossil,Collector,Date_,EandR,Map,USGS7_5,Lat_Pub,Long_Pub,Reference,Comments,last_modified,Orig_Resume_Fauna,FieldNum,FormationNew,species,Ammonite_,Type_,COUNT,N_F
937,3422,200,4030,USA,WY,Big Horn,Cretaceous,"Cody Shale, from equivalent of the Elk Basin Sandstone",Campanian,NA,,"SE1/4 SE1/4 NE1/4 sec. 36, T. 53 N., R. 94 W.","Inoceramus sp., Baculites sp., Placenticeras sp.",,R. L. Rioux,23018,,,,44.52829,-108.10804,,,02/18/2014,"Inoceramus sp., Baculites sp., Placenticeras sp.",,Elk Basin,Placenticeras sp.,Y,Ammonite,1,F
938,3884,492,3114,USA,WY,,Cretaceous,Hilliard Shale,"Campanian, Lower about 83.8 MY",NA,,"NE1/4 Sec. 29 T17N R117W From a light-gray to brown lignitic sandstone bed in Hilliad Shale approx 1,103' below base of Lazeart sandstone. Lot 5","Inoceramus patootensis de Loriol, Baculites thomi Reeside, Scaphites leei Reeside, Clioscaphites novimexicanus (Reeside), Placenticeras sp.",Baculites thomi,J.H. Smith,1961,0,,,41.4451,-110.6402,,,02/18/2014,"Inoceramus patootensis de Loriol, Baculites thomi Reeside, Scaphites leei Reeside, Clioscaphites novimexicanus (Reeside), Placenticeras sp.",,Hilliard,Placenticeras sp.,Y,Ammonite,1,NA
939,5754,504,1523,USA,WY,Natrona,Cretaceous,In fine-grained sandstone 350 feet above top of basal Mesaverde equivalent.,Campanian,NA,,"Section No. 29, locality C, Approximately in the SE¼ sec. 3, T. 32 N., R., 86 W.","Pteria nebrascana, Cymella montanensis, Ethmocardium whitei, Tellina equilateralis, Placenticeras sp.",,John R. Barwin,10/21/1957,,,,42.77021,-107.11847,,,02/18/2014,"Pteria nebrascana, Cymella montanensis, Ethmocardium whitei, Tellina equilateralis, Placenticeras sp.",,Mesaverde,Placenticeras sp.,Y,Ammonite,1,F
940,7893,459,3246,USA,WY,Natrona,Cretaceous,"Gray sandy, calcareous in shale unit separating middle coarse glauconnitic sandstone ledge of Shannon from upper ledge of Shannon.",Campanian,NA,ELIASI,"NE1/4 sec. 1, T. 40 N., R. 80 W.","Inoceramus sp., Cymbophora cf. C. holmesi (Meek), Baculites sp., Placenticeras sp.",,"J. G. Gill, L. G. Schultz and W. A. Cobban.",9/16/1960,0,Goverenment Creek,,44.82817,-105.09442,,,02/18/2014,"Inoceramus sp., Cymbophora cf. C. holmesi (Meek), Baculites sp., Placenticeras sp.",,Shannon,Placenticeras sp.,Y,Ammonite,1,F
941,7951,1026,3247,USA,WY,Natrona,Cretaceous,Top ledge of three ledges of Shannon Sandstone.,Campanian,NA,,"NE1/4 sec. 1, T. 40 N., R. 80 W.","Baculites sp., Placenticeras sp.",Scaphites whitfieldi,J. G. Gill,9/16/1960,0,Goverenment Creek,,43.46763,-106.40597,,,02/18/2014,"Baculites sp., Placenticeras sp.",,Shannon,Placenticeras sp.,Y,Ammonite,1,F
942,9051,950,3366,USA,WY,Carbon,Cretaceous,"Steele - Mesaverde transition, 25 feet above RW - 31",Campanian,NA,,"SW1/4 SW1/4 NW1/4 sec. 34, T. 20 N., R. 78 W.Same locality as D3365","Baculites sp., Placenticeras sp.",,Veatch,22441,"OF-61-3D, 5D",,,41.5822,-110.66696,,,02/18/2014,"Baculites sp., Placenticeras sp.",,Steele,Placenticeras sp.,Y,Ammonite,1,NA
943,749,895,3962,USA,WY,Sweetwater,Cretaceous,"Rock Springs Formation, from an unnamed sandstone unit 530 feet below base of Ericson Formation.",Campanian,NA,,"Sec. 30, T. 18 N., R. 101 W.",Placenticeras syrtale (Morton),,J. H. Smith,1963,,,,41.50864,-108.8403,,,02/18/2014,Placenticeras syrtale (Morton),,Rock Springs,Placenticeras syrtale ,Y,Ammonite,1,F
944,2202,228,4179,USA,WY,Big Horn,Cretaceous,"Cody Shale, from orange - brown concretions 30 - 50 feet below top",Campanian,NA,,"NE1/4 sec. 3, T. 49 N., R. 92 W.","Inoceramus n. sp., Baculites sp., Placenticeras syrtale (Morton)",,"J. R. Gill, R. Vaughn",7/26/1962,,,,44.25185,-107.88793,,,02/18/2014,"Inoceramus n. sp., Baculites sp., Placenticeras syrtale (Morton)",,Cody,Placenticeras syrtale ,Y,Ammonite,1,F
945,2381,246,4673,USA,WY,Washakie,Cretaceous,"Cody Shale, from sandy limestone concretions 755 ft below top.","Campanian, Lower about 80.5 MY",NA,,"NW¼ sec. 35, T. 44 N, R. 90 W.  ","Baculites sp., (Weak flank ribs) Placenticeras syrtale (Morton)",,J. R. Gill,8/22/1964,OF-64-12D,,,43.74416,-107.63001,,,02/18/2014,"Baculites sp., (Weak flank ribs) Placenticeras syrtale (Morton)",,Cody,Placenticeras syrtale ,Y,Ammonite,1,F
946,2783,297,4671,USA,WY,Washakie,Cretaceous,"Cody Shale, same level as G64-13-1",Campanian,NA,,"NE¼ sec. 36, T. 44 N, R. 90 W.  ","Nucula sp., Inoceramus sp., Baculites sp., Placenticeras syrtale (Morton)",,J. R. Gill,8/22/1964,OF-64-12D,,,43.74455,-107.60033,,,02/18/2014,"Nucula sp., Inoceramus sp., Baculites sp., Placenticeras syrtale (Morton)",,Cody,Placenticeras syrtale ,Y,Ammonite,1,F
