Column1,X,Dnum,Country,State,County,Age,Formation,Stage,Age_Date,AmmoniteZone,LocDescr,Resume_of_Fauna,IndexFossil,Collector,Date,EandR,Map,USGS7.5,Lat_Pub,Long_Pub,Reference,Comments,last_modified,Orig_Resume_Fauna,FieldNum,species
807,2810,10236,USA,WY,Niobrara,Cretaceous,"Pierre Shale, probably just below Kara member.",Campanian,NA,,"About 3.2 km northeast of Red Bird, in the SE1/4 sec. 14, T. 38 N., R. 62 W.",Rhaeboceras,Rhaeboceras,K.F. Hirsch,1972,0,,,43.2666,-104.2668,"PP 1477, PP 550 B",,02/18/2014,Rhaeboceras,,Rhaeboceras
315,1185,13364,USA,WY,Carbon,Cretaceous ,"Frontier Formation, from sandstone in Belle Fourche Member ",,NA,,"SW1/4 NW1/4 sec. 24, T. 25 N., R. 85 W., lat. 42°07 '26"", long. 106°57'23"" ",Rhynchostreon? sp ,,Mieras,8/26/1992,0,Seminoe Dam SW ,,42.1238,-106.956,,,02/18/2014,Rhynchostreon? sp ,,Rhynchostreon? sp 
106,376,1672,USA,WY,Washakie,  Cretaceous,"Top of bed 10, about 180 feet above base of Mesaverde formation",Campanian,NA,,"NE¼ sec. 23, T. 44 N., R. 94 W.",Scapanorhynchus raphiodon,,G. H. Horn,8/31/1957,,Neiber,,43.77116,-108.10104,,,02/18/2014,Scapanorhynchus raphiodon,,Scapanorhynchus raphiodon
45,181,2564,USA,WY,Park,Cretaceous,Small gray ls. Concretion in Cody shale.,Campanian,NA,,"At road junction by Ohio Oil Co.--Gov't well No. 3 in SE1/4NE1/4 sec. 32, .T. 51 N., R. 100 W.",Scaphites binevi ,,W. A. Cobban,6/25/1960,0,Oregon Basin,,44.35105,-108.91254,,,02/18/2014,Scaphites binevi fauna,,Scaphites binevi 
46,182,2565,USA,WY,Park,Cretaceous,Lower part of Cody shale.,,NA,,"East of Ohi°Oil Co's. No. 3 Gov't. well in SE1/4NE1/4 sec. 32, T. 51 N., R. 100 W., Park Co., Wyo.",Scaphites binevi ,,W. A. Cobban,6/25/1960,0,Oregon Basin,,44.35105,-108.91254,,,02/18/2014,Scaphites binevi fauna,,Scaphites binevi 
94,347,14088,USA,WY,Fremont,Cretaceous,"Cody Shale, from thin hard shaly siltstone",Campanian,NA,,"NW1/4 sec. 24, T. 29 N., R. 96 W.",Scaphites bounce mark,,N. M. Donson,01/07/1967,0,Barras Springs  ,,42.47795,-108.26078,,,02/18/2014,Scaphites bounce mark,,Scaphites bounce mark
221,97,11363,USA,WY,Sweetwater,Cretaceous,depth of 9295-9299' in basal Hilliard Shale,,NA,,"C& K Petroleum Company' s Lincoln Rand No. 4 in sec. 5, T. 24 N., R. 111 W.",Scaphites cantensis,,E. S. Merewether,1980,0,,,42.08303,-110.0297,,,02/18/2014,Scaphites cantensis,,Scaphites cantensis
171,643,13228,USA,WY,Washakie,Cretaceous,Lower part of Sage Breaks Member ,"Turonian, Upper.  about 88.8 MY",NA,,"SW1/4 SW1/4 sec. 13, T. 46 N., R. 89 W.",Scaphites corvensis ,,Cobban,9/26/1991,0,Joe Emge Creek ,,43.9472,-107.48111,,,02/18/2014,Scaphites corvensis ,,Scaphites corvensis 
28,133,12196,USA,WY,Fremont,Cretaceous,Cody Shale,"Coniacian, Upper.  86.92 MY",NA,,"NE1/4 NW1/4 sec. 15, T. 6 N., R. 3 W.,  ",Scaphites depressus,,R. Murphy,1958,0,,,43.50159,-109.10403,,,02/18/2014,Scaphites depressus,,Scaphites depressus
99,359,5003,USA,WY,Fremont,Cretaceous,"Cody Sh., from basal part of 2nd sandy zone above base.","Campanian, Lower about 81.7 MY",NA,,"1975' W/E, 1800' S/N sec. 26, T.34 N., R. 95 W. Elev. 5520'",Scaphites hippocrepis,,W. A. Cobban,9/13/1965,,Alkali Butte ,,42.894,-108.17554,,,02/18/2014,Scaphites hippocrepis,,Scaphites hippocrepis
