Column1,X,Dnum,Country,State,County,Age,Formation,Stage,Age_Date,AmmoniteZone,LocDescr,Resume_of_Fauna,IndexFossil,Collector,Date,EandR,Map,USGS7.5,Lat_Pub,Long_Pub,Reference,Comments,last_modified,Orig_Resume_Fauna,FieldNum,FormationNew,species
4621,6997,548,USA,MT,Lewis and Clark,Cretaceous,About 15' above base of upper or dark member of Horsethief sandstone,Campanian,NA,,"Sandstone bluffs just east of road, 8 miles east - southeast of Augusta, E1/2 sec. 27, T. 20 N., R. 5 W",Inoceramus,,W. A. Cobban,8/15/1955,0,Bowman's Corner NW,,47.45826,-112.2229,,,02/18/2014,Inoceramus,,Horsethief,Inoceramus
4623,6999,550,USA,MT,Lewis and Clark,Cretaceous,About 64' above base of upper member of Horsethief ss,Campanian,NA,,"Sandstone bluffs just east of road, 8 miles east - southeast of Augusta, E1/2 sec. 27, T. 20 N., R. 5 W.",Ostrea subtrigonalis,,W. A. Cobban,8/15/1955,0,Bowman's Corner NW,,47.45826,-112.2229,,,02/18/2014,Ostrea subtrigonalis,,Horsethief,Ostrea_subtrigonalis
4624,7000,551,USA,MT,Lewis and Clark,Cretaceous,From magnetite bed at top of Horsethief sandstone,Campanian,NA,,"Sandstone bluffs just east of road, 8 miles east - southeast of Augusta, E1/2 sec. 27, T. 20 N., R. 5 W.",Corbicula,,W. A. Cobban,8/26/1955,0,Bowman's Corner NW,,47.45826,-112.2229,,,02/18/2014,Corbicula,,Horsethief,Corbicula
4625,7001,552,USA,MT,Cascade,Cretaceous,Virgelle sandstone,Campanian,NA,,"1.5 miles south - southeast of Simms, on north -facing sandstone bluff, SW1/4 sec. 20, T. 20 N., R. 2 W.",Inoceramus lobatus ,,W. A. Cobban,8/19/1955,0,,,47.47121,-111.8958,,,02/18/2014,Inoceramus lobatus fauna,,Virgelle,Inoceramus_lobatus
4626,7004,560,USA,MT,Chouteau,Cretaceous,"Claggett shale, from calcareous septarian concretions 35' above base",Campanian,NA,,"South side of Middle Goosebill Butte, NE1/4 sec. 1, T. 27 N., R. 7 E.",Baculites,,W. A. Cobban,8/22/1955,0,,,48.12731,-110.76466,,,02/18/2014,Baculites,,Claggett,Baculites
4628,7006,562,USA,MT,Chouteau,Cretaceous,"Claggett shale, about 150' above base.",Campanian,NA,,"South side of Middle Goosebill Butte, NE1/4 sec. 1, T. 27 N., R. 7 E.",Baculites,,W. A. Cobban,8/22/1955,0,,,48.1285,-110.76466,,,02/18/2014,Baculites,,Claggett,Baculites
2974,3816,566,USA,MT,Cascade,Cretaceous,"Colorado shale, from limestone concretion in rocks of early Niobrara age.","Coniacian, Lower.  about 88.3 MY",NA,,"North side of county road, SE1/4SE1/4 sec. 28, T. 17 N., R. 1 E.",Inoceramus deformis,,W. A. Cobban,8/24/1955,0,,,47.18941,-111.60503,,,02/18/2014,Inoceramus deformis,,Niobrara,Inoceramus_deformis
4629,7011,568,USA,MT,Lewis and Clark,Cretaceous,Horsethief sandstone.,Campanian,NA,,"East side of MT State Highway 33 at curve, NW1/4 sec. 24, T. 19 N., R. 6 W.,",Ostrea ,,W. A. Cobban,09/02/1955,0,,,47.3901,-112.31671,,,02/18/2014,Ostrea ,,Horsethief,Ostrea
4630,7012,569,USA,MT,Glacier?,Cretaceous,Two Medicine formation,Campanian,NA,,East side of U. S. Highway 89 just north of bridge over Birch Creek canal and 6.5 miles southeast of bridge over Birch Creek.,Unio,,W.A. Cobban,09/03/1955,0,Robere,,48.327,-112.5478,,,02/18/2014,Unio,,Two Medicine,Unio
4633,7015,572,USA,MT,Lewis and Clark,Cretaceous,Upper part of  Horsethief sandstone.,,NA,,"North side of  road, 5.6 miles southwest of Augusta, approximately SE1/4 sec. 3, T. 19 N., R. 7 W",Ostrea ,,W. A. Cobban,09/05/1955,0,,,47.42277,-112.47298,,,02/18/2014,Ostrea ,,Horsethief,Ostrea
